ID,Name,Location,Date
c3ac8d0da7b05772,UFC Fight Night: Burns vs. Malott,"Winnipeg, Manitoba, Canada",2026-04-18
f3eb664db7fb1df3,UFC 327: Prochazka vs. Ulberg,"Miami, Florida, US",2026-04-11
